Reject	Accept
BPTF	0.347	0
ZFX	0.538	0.431
LHX2	0.515	0.376
LHX6	0	0
LHX8	0.418	0.294
LHX9	0.302	0
TBX21	0.256	0.122
IRX5	0.521	0.408
IRX4	0.322	0
IRX6	0.351	0
HNF4	0.329	0.006
IRX3	0.528	0.446
IRX2	0.511	0.438
FOXQ1	0.026	0
ARHGEF12	0.343	0
SP1	0.068	0
SP3	0.334	0
GATA6	0.583	0.509
GATA4	0.358	0.092
GATA5	0	0
GATA2	0.739	0.746
GATA3	0.817	0.829
GATA1	0.719	0.7
MAX	0.869	0.886
CACBP	0.316	0
AHR	0	0
HSFY2	0.487	0.414
TCF12	0.187	0
CTCF	0.962	0.966
ZSCAN16	0.32	0
HINFP	0.611	0.608
SOX18	0.261	0.056
SOX10	0.513	0.415
SOX11	0.119	0
SOX12	0.038	0
SOX13	0.029	0
SOX14	0.456	0.388
SOX15	0.244	0.049
SOX17	0.744	0.723
ZIC4	0.125	0
GTF2A	0.318	0
ZIC2	0.399	0.246
ZIC3	0.469	0.397
ZIC1	0.463	0.38
NR1H4	0.273	0
GTF2I	0.33	0
FOXJ2	0.054	0
FOXJ3	0.562	0.568
DOBOX4	0.206	0
HOXB4	0.015	0
HOXC11	0.067	0
HOXC10	0.072	0
HOXC13	0.349	0.086
HOXC12	0.075	0
PPARA	0.291	0
ZEB1	0.67	0.642
NFY	0	0
HLX	0.231	0
COMP1	0.311	0
PTF1A	0.093	0
SPDEF	0.43	0.134
PRDM4	0	0
ZNF350	0.286	0
ZNF423	0.29	0
HES1	0.038	0
FOXC2	0.257	0
FOXC1	0.008	0
GLI	0.161	0
SMAD4	0.412	0.174
SMAD3	0.344	0.175
FOXM1	0	0
REL	0.432	0.073
SPI1	0.153	0
HIC1	0.579	0.53
HIC2	0.292	0
NR2F6	0.339	0
NR2F1	0.107	0
NR2F2	0.372	0
ATOH1	0.008	0
RXRG	0.617	0.544
MGA	0.425	0.324
RXRB	0	0
BARX1	0.006	0
HNF1	0.136	0
LEF1	0.123	0
OLIG2	0.644	0.595
OLIG3	0.281	0
OLIG1	0.311	0
ARID5B	0.344	0
ARID5A	0.236	0
SREBF	0.197	0
LMO2	0.562	0.497
EMX2	0.181	0
MEIS1::HOXA9	0.282	0
TP73	0.627	0.574
EMX1	0.186	0
HOXD12	0.089	0
CPEB1	0	0
ERG	0.451	0.326
HAND1	0.146	0
HERPUD1	0	0
GFI1B	0.56	0.48
POU5F1B	0.313	0.05
GZF1	0.316	0
PROP1	0.15	0
REST	0.833	0.852
CACD	0.312	0
PHOX2A	0.17	0
PHOX2B	0.135	0
HOXB13	0.436	0.342
E2F7	0.667	0.621
E2F4	0.582	0.444
E2F3	0.248	0.057
E2F2	0.431	0.31
E2F1	0.4	0
HMBOX1	0.189	0
E2F8	0	0
AP3	0.349	0
AP1	0.486	0.271
FOXI1	0.339	0
GCM2	0.254	0
RARA	0.5	0.435
RARB	0.237	0.031
RARG	0.612	0.586
SIX4	0.21	0
NFE2L2	0.219	0
SIX6	0.226	0
SIX1	0.214	0
SIX2	0.442	0.228
SIX3	0.211	0
HNF1A	0.405	0
PGR	0.007	0
RELA	0.664	0.632
CENPB	0.353	0
DMRTC2	0.229	0
EWSR1::FLI1	0.351	0
RFX4	0.068	0
RFX5	0.62	0.566
RFX7	0	0
RFX1	0.632	0.58
RFX2	0.611	0.576
RFX3	0.063	0
ELK1	0.588	0.477
PLAGL1	0.328	0
FOXP3	0	0
DMRT2	0	0
FOXP1	0	0
ZNF691	0.288	0
TBR1	0.075	0
HDX	0.163	0
SPZ1	0.492	0.402
